bug_id,first_success_rank,total_success_fibs,num_clusters
FasterXML_jackson-databind-3195,100000,0,2
Hakky54_sslcontext-kickstart-167,100000,0,7
Hakky54_sslcontext-kickstart-197,2,1,2
assertj_assertj-core-2324,1,4,5
assertj_assertj-core-2445,10,1,11
assertj_assertj-core-2685,1,8,15
checkstyle_checkstyle-10839,100000,0,15
checkstyle_checkstyle-10840,100000,0,3
checkstyle_checkstyle-10958,100000,0,17
checkstyle_checkstyle-10963,100000,0,17
checkstyle_checkstyle-10967,100000,0,3
checkstyle_checkstyle-11020,100000,0,4
checkstyle_checkstyle-11085,100000,0,2
checkstyle_checkstyle-11270,100000,0,1
checkstyle_checkstyle-11383,100000,0,5
checkstyle_checkstyle-11468,100000,0,8
checkstyle_checkstyle-11926,100000,0,4
google_gson-2060,100000,0,1
google_gson-2061,1,17,22
google_gson-2130,1,3,3
google_gson-2134,1,9,9
google_gson-2153,100000,0,15
google_gson-2158,1,8,15
jhy_jsoup-1648,2,1,12
jhy_jsoup-1763,4,2,17
